filename,location,scene_category,brightness,contrast,blur_score,edge_density,num_objects,green_ratio,color_entropy,wall_floor_ratio,light_uniformity,num_windows,defect_score,furniture_count,furniture_density,aesthetic_score,predicted_repair_cost,predicted_repair_cost_label,predicted_repair
backyard (103).jpeg,backyard,porch,0.4327,0.2656,1.0,0.1773,2,0.0455,0.2136,2.3333,0.3862,2,0.0927,1,5.3333,0.3422,132063.98,132 064 RUB,Косметический
backyard (103).jpg,backyard,yard,0.3964,0.159,1.0,0.2583,1,0.2408,0.1815,2.33,0.5989,0,0.0379,0,0.0,0.331,86355.29,86 355 RUB,Без ремонта
backyard (104).jpeg,backyard,yard,0.5276,0.1558,1.0,0.2218,0,0.0591,0.1996,2.33,0.7047,2,0.0149,0,0.0,0.3726,92172.48,92 172 RUB,Косметический
backyard (104).jpg,backyard,manufactured_home,0.3831,0.2771,1.0,0.1354,1,0.0293,0.1824,2.3186,0.2769,1,0.0996,1,5.3333,0.3291,124215.02,124 215 RUB,Косметический
backyard (105).jpeg,backyard,beach_house,0.5311,0.1369,1.0,0.1625,0,0.0002,0.1983,2.33,0.7421,0,0.0482,0,0.0,0.3799,84323.04,84 323 RUB,Без ремонта
backyard (105).jpg,backyard,driveway,0.4897,0.2367,0.666,0.1355,0,0.0003,0.2046,2.3214,0.5166,0,0.0475,0,0.0,0.469,83200.86,83 201 RUB,Без ремонта
backyard (106).jpeg,backyard,roof_garden,0.4412,0.2159,1.0,0.3532,1,0.4215,0.2465,2.3059,0.5106,1,0.1715,1,7.1174,0.3586,153180.38,153 180 RUB,Косметический
backyard (106).jpg,backyard,porch,0.5135,0.2176,1.0,0.2305,5,0.2009,0.2093,2.3186,0.5763,2,0.0978,5,26.6665,0.3794,149641.71,149 642 RUB,Косметический
backyard (107).jpeg,backyard,yard,0.5002,0.3064,1.0,0.2466,0,0.1477,0.208,2.3186,0.3875,1,0.1073,0,0.0,0.3655,119481.5,119 482 RUB,Косметический
backyard (107).jpg,backyard,manufactured_home,0.6337,0.247,1.0,0.2628,1,0.0043,0.1815,2.33,0.6103,6,0.0556,0,0.0,0.4013,133604.9,133 605 RUB,Косметический
backyard (108).jpeg,backyard,yard,0.5752,0.2013,1.0,0.149,0,0.1444,0.187,2.32,0.65,0,0.0354,0,0.0,0.4147,81302.03,81 302 RUB,Без ремонта
backyard (108).jpg,backyard,manufactured_home,0.4659,0.2967,1.0,0.2045,1,0.0127,0.1747,2.3186,0.3632,0,0.0882,0,0.0,0.3467,107796.98,107 797 RUB,Косметический
backyard (109).jpeg,backyard,manufactured_home,0.5275,0.2592,1.0,0.12,0,0.0149,0.2066,2.3186,0.5085,0,0.0717,0,0.0,0.3885,91724.44,91 724 RUB,Косметический
backyard (109).jpg,backyard,garage/outdoor,0.4772,0.2636,1.0,0.2743,2,0.1213,0.2107,2.3069,0.4476,0,0.0806,2,11.976,0.3482,140318.58,140 319 RUB,Косметический
backyard (11).jpeg,backyard,manufactured_home,0.604,0.1371,1.0,0.1491,0,0.332,0.1646,2.31,0.773,0,0.028,0,0.0,0.445,74462.3,74 462 RUB,Без ремонта
backyard (11).jpg,backyard,pavilion,0.4392,0.2908,1.0,0.2237,1,0.1836,0.232,2.3186,0.3378,1,0.2041,0,0.0,0.3493,139762.09,139 762 RUB,Косметический
backyard (110).jpeg,backyard,patio,0.3372,0.1998,1.0,0.2117,13,0.0459,0.2024,2.33,0.4076,0,0.0974,11,66.0657,0.2971,161691.86,161 692 RUB,Косметический
backyard (110).jpg,backyard,yard,0.5866,0.2162,1.0,0.2193,0,0.0045,0.2084,2.33,0.6313,0,0.0495,0,0.0,0.3912,93209.05,93 209 RUB,Косметический
backyard (111).jpeg,backyard,shed,0.4115,0.2508,1.0,0.2196,1,0.0834,0.2016,2.3059,0.3907,1,0.0919,0,0.0,0.329,113927.55,113 928 RUB,Косметический
backyard (111).jpg,backyard,porch,0.5468,0.2082,1.0,0.1903,6,0.0687,0.2118,2.32,0.6192,3,0.1054,6,36.1444,0.3875,159311.04,159 311 RUB,Косметический
backyard (112).jpeg,backyard,patio,0.37,0.2311,0.6526,0.0686,7,0.0804,0.166,2.32,0.3754,0,0.0323,6,36.1444,0.4465,146209.76,146 210 RUB,Косметический
backyard (112).jpg,backyard,yard,0.5847,0.302,1.0,0.1825,0,0.4345,0.1834,2.31,0.4834,0,0.024,0,0.0,0.4408,86558.79,86 559 RUB,Без ремонта
backyard (113).jpeg,backyard,porch,0.511,0.1466,1.0,0.2103,8,0.0398,0.2294,2.31,0.7131,0,0.0574,4,24.169,0.3663,129277.32,129 277 RUB,Косметический
backyard (113).jpg,backyard,yard,0.4943,0.2451,1.0,0.2223,1,0.0062,0.1966,2.31,0.504,0,0.0577,0,0.0,0.3539,93122.73,93 123 RUB,Косметический
backyard (114).jpeg,backyard,patio,0.4522,0.2372,1.0,0.2652,5,0.3202,0.1956,2.3186,0.4755,4,0.0659,5,26.6665,0.3598,163848.84,163 849 RUB,Косметический
backyard (114).jpg,backyard,hunting_lodge/outdoor,0.3706,0.1928,1.0,0.2697,1,0.0879,0.208,2.32,0.4798,0,0.1377,0,0.0,0.3031,114861.66,114 862 RUB,Косметический
backyard (115).jpeg,backyard,yard,0.4506,0.2352,1.0,0.1871,0,0.1375,0.2015,2.3186,0.4781,1,0.0149,0,0.0,0.3566,91147.25,91 147 RUB,Косметический
backyard (115).jpg,backyard,yard,0.4655,0.1731,1.0,0.185,0,0.1173,0.214,2.3061,0.6283,0,0.066,0,0.0,0.361,89588.53,89 589 RUB,Без ремонта
backyard (116).jpeg,backyard,lawn,0.497,0.2671,1.0,0.2167,7,0.3229,0.2058,2.3069,0.4626,2,0.07,5,29.9399,0.3877,149663.55,149 664 RUB,Косметический
backyard (116).jpg,backyard,patio,0.4914,0.2872,1.0,0.1222,7,0.087,0.1903,2.3333,0.4155,1,0.0548,4,21.3332,0.3808,144270.59,144 271 RUB,Косметический
backyard (117).jpeg,backyard,yard,0.3039,0.2299,1.0,0.2372,0,0.1194,0.1764,2.3059,0.2435,0,0.0649,0,0.0,0.2861,112038.16,112 038 RUB,Косметический
backyard (117).jpg,backyard,patio,0.4886,0.2386,1.0,0.1856,14,0.003,0.2221,2.31,0.5116,0,0.1522,12,72.5071,0.3586,169050.15,169 050 RUB,Косметический
backyard (118).jpeg,backyard,manufactured_home,0.4544,0.2712,1.0,0.2423,1,0.1725,0.2093,2.32,0.4032,1,0.1466,0,0.0,0.3505,121133.09,121 133 RUB,Косметический
backyard (118).jpg,backyard,schoolhouse,0.556,0.2633,1.0,0.1385,0,0.3361,0.1753,2.3186,0.5265,0,0.0219,0,0.0,0.4283,82781.37,82 781 RUB,Без ремонта
backyard (119).jpeg,backyard,yard,0.4001,0.2403,1.0,0.2969,1,0.4495,0.2076,2.33,0.3995,3,0.1499,0,0.0,0.3456,135882.39,135 882 RUB,Косметический
backyard (119).jpg,backyard,manufactured_home,0.5064,0.208,1.0,0.2078,2,0.0426,0.1979,2.3186,0.5894,1,0.0685,2,10.6666,0.3653,127149.57,127 150 RUB,Косметический
backyard (12).jpeg,backyard,yard,0.4368,0.3423,0.3948,0.0523,6,0.0985,0.1437,2.3186,0.2163,0,0.0322,4,21.3332,0.5556,140242.82,140 243 RUB,Косметический
backyard (12).jpg,backyard,kennel/outdoor,0.6161,0.1596,1.0,0.3542,0,0.0055,0.1753,2.3186,0.741,2,0.0313,0,0.0,0.387,96779.74,96 780 RUB,Косметический
backyard (120).jpeg,backyard,manufactured_home,0.6635,0.2412,1.0,0.1928,0,0.0068,0.1622,2.3186,0.6365,4,0.0133,0,0.0,0.4275,113219.59,113 220 RUB,Косметический
backyard (120).jpg,backyard,yard,0.5248,0.2319,1.0,0.2642,1,0.0103,0.1927,2.3186,0.5582,3,0.0464,1,5.3333,0.3581,129787.41,129 787 RUB,Косметический
backyard (121).jpeg,backyard,patio,0.5568,0.2194,1.0,0.2048,6,0.0097,0.2418,2.31,0.606,5,0.0611,6,36.2536,0.3827,153304.86,153 305 RUB,Косметический
backyard (121).jpg,backyard,manufactured_home,0.539,0.1797,1.0,0.173,0,0.0047,0.2055,2.33,0.6667,2,0.035,0,0.0,0.3815,94389.59,94 390 RUB,Косметический
backyard (122).jpeg,backyard,patio,0.4451,0.1563,1.0,0.2739,11,0.1025,0.2191,2.32,0.6488,1,0.1389,10,60.2406,0.3335,166250.29,166 250 RUB,Косметический
backyard (122).jpg,backyard,manufactured_home,0.5081,0.2259,1.0,0.2318,10,0.0116,0.1942,2.3186,0.5554,0,0.0848,7,37.3331,0.3581,151722.18,151 722 RUB,Косметический
backyard (123).jpeg,backyard,patio,0.629,0.263,1.0,0.1253,7,0.0303,0.1775,2.32,0.5819,2,0.0683,5,30.1203,0.4296,143146.84,143 147 RUB,Косметический
backyard (123).jpg,backyard,yard,0.5722,0.2128,1.0,0.1545,0,0.3291,0.2059,2.32,0.628,1,0.0161,0,0.0,0.4309,85034.14,85 034 RUB,Без ремонта
backyard (124).jpeg,backyard,manufactured_home,0.7081,0.2135,1.0,0.1976,4,0.0121,0.1831,2.33,0.6985,1,0.0203,4,24.0239,0.4449,123191.95,123 192 RUB,Косметический
backyard (124).jpg,backyard,manufactured_home,0.5687,0.1866,1.0,0.2527,3,0.3216,0.1934,2.3186,0.6718,0,0.0345,0,0.0,0.4091,93127.09,93 127 RUB,Косметический
backyard (125).jpeg,backyard,yard,0.5061,0.2923,1.0,0.211,0,0.0667,0.1763,2.3304,0.4224,0,0.058,0,0.0,0.3669,96936.94,96 937 RUB,Косметический
backyard (125).jpg,backyard,manufactured_home,0.4827,0.2888,1.0,0.172,4,0.0353,0.1864,2.31,0.4016,1,0.0666,4,24.169,0.3622,129777.65,129 778 RUB,Косметический
backyard (126).jpeg,backyard,patio,0.4359,0.1791,1.0,0.1632,9,0.0041,0.2231,2.33,0.5891,1,0.1588,6,36.0358,0.3421,165586.23,165 586 RUB,Косметический
backyard (126).jpg,backyard,rice_paddy,0.4927,0.3036,1.0,0.165,0,0.3993,0.1845,2.3069,0.3839,0,0.0654,0,0.0,0.404,100767.4,100 767 RUB,Косметический
backyard (127).jpeg,backyard,yard,0.3947,0.262,1.0,0.1712,0,0.1459,0.1946,2.3186,0.3362,1,0.0798,0,0.0,0.3382,107500.92,107 501 RUB,Косметический
backyard (127).jpg,backyard,doorway/outdoor,0.5843,0.2629,1.0,0.2051,0,0.0001,0.1843,2.3186,0.55,3,0.1597,0,0.0,0.3927,137150.46,137 150 RUB,Косметический
backyard (128).jpeg,backyard,yard,0.6292,0.2456,1.0,0.1549,11,0.0433,0.1859,2.32,0.6097,0,0.0346,8,48.1925,0.425,133767.23,133 767 RUB,Косметический
backyard (128).jpg,backyard,garage/outdoor,0.6797,0.2307,1.0,0.2313,1,0.0252,0.1761,2.33,0.6606,0,0.0384,0,0.0,0.4281,91854.14,91 854 RUB,Косметический
backyard (129).jpeg,backyard,patio,0.5335,0.2717,1.0,0.236,18,0.1287,0.2335,2.3,0.4906,2,0.0992,15,90.9085,0.3791,190080.89,190 081 RUB,Капитальный
backyard (129).jpg,backyard,patio,0.4012,0.2262,1.0,0.2808,11,0.1519,0.2174,2.33,0.4361,1,0.1129,8,48.0478,0.3195,168950.04,168 950 RUB,Косметический
backyard (13).jpeg,backyard,yard,0.4825,0.2746,1.0,0.2579,1,0.1474,0.2106,2.3186,0.4309,0,0.1565,0,0.0,0.3562,117177.73,117 178 RUB,Косметический
backyard (13).jpg,backyard,pavilion,0.5437,0.2126,1.0,0.2066,4,0.2998,0.194,2.3186,0.609,0,0.0616,1,5.3333,0.4061,110418.33,110 418 RUB,Косметический
backyard (130).jpeg,backyard,manufactured_home,0.3791,0.2501,1.0,0.1258,0,0.039,0.1873,2.32,0.3403,2,0.0393,0,0.0,0.3304,104838.01,104 838 RUB,Косметический
backyard (130).jpg,backyard,garage/outdoor,0.5586,0.1784,1.0,0.1986,0,0.0189,0.2164,2.31,0.6806,2,0.0233,0,0.0,0.3856,92265.37,92 265 RUB,Косметический
backyard (131).jpeg,backyard,garage/outdoor,0.431,0.2084,1.0,0.2559,0,0.2047,0.2487,2.33,0.5165,0,0.1415,0,0.0,0.3417,114276.91,114 277 RUB,Косметический
backyard (132).jpeg,backyard,yard,0.6733,0.2098,1.0,0.2663,7,0.1167,0.2262,2.33,0.6884,3,0.023,5,30.0298,0.4277,151791.47,151 791 RUB,Косметический
backyard (132).jpg,backyard,residential_neighborhood,0.3868,0.1913,1.0,0.2108,6,0.4661,0.1836,2.33,0.5056,1,0.1162,1,6.006,0.3592,140449.01,140 449 RUB,Косметический
backyard (133).jpeg,backyard,yard,0.6004,0.2521,0.4543,0.1095,0,0.4638,0.2045,2.3186,0.58,0,0.0075,0,0.0,0.6283,71407.2,71 407 RUB,Без ремонта
backyard (133).jpg,backyard,manufactured_home,0.4729,0.2687,1.0,0.257,2,0.1076,0.2158,2.3186,0.4319,2,0.1399,0,0.0,0.3485,129883.82,129 884 RUB,Косметический
backyard (134).jpeg,backyard,patio,0.6248,0.2471,1.0,0.1971,9,0.2839,0.1966,2.3186,0.6045,3,0.0083,8,42.6664,0.4389,156393.62,156 394 RUB,Косметический
backyard (134).jpg,backyard,garage/outdoor,0.3535,0.2003,1.0,0.3075,0,0.3784,0.2057,2.3186,0.4334,0,0.1482,0,0.0,0.3192,121343.41,121 343 RUB,Косметический
backyard (135).jpeg,backyard,porch,0.2939,0.2163,1.0,0.2422,2,0.33,0.1941,2.33,0.264,0,0.1447,1,6.006,0.3021,140872.94,140 873 RUB,Косметический
backyard (135).jpg,backyard,yard,0.5919,0.2384,0.8054,0.127,0,0.0093,0.1982,2.3333,0.5972,2,0.0139,0,0.0,0.4707,91864.18,91 864 RUB,Косметический
backyard (136).jpeg,backyard,yard,0.4562,0.2018,1.0,0.2983,1,0.6187,0.1999,2.33,0.5576,0,0.0605,0,0.0,0.3847,95367.13,95 367 RUB,Косметический
backyard (136).jpg,backyard,yard,0.5828,0.2204,1.0,0.1461,0,0.0072,0.1965,2.3186,0.6217,1,0.0044,0,0.0,0.4046,87718.81,87 719 RUB,Без ремонта
backyard (137).jpeg,backyard,yard,0.5143,0.2692,1.0,0.1371,0,0.0,0.1515,2.33,0.4767,0,0.0339,0,0.0,0.3783,91023.62,91 024 RUB,Косметический
backyard (137).jpg,backyard,garage/outdoor,0.4995,0.2495,0.8463,0.1692,0,0.009,0.1986,2.3303,0.5004,0,0.0128,0,0.0,0.413,80714.57,80 715 RUB,Без ремонта
backyard (138).jpeg,backyard,yard,0.4649,0.2142,1.0,0.2955,0,0.2285,0.2173,2.32,0.5392,1,0.1404,0,0.0,0.3497,123043.55,123 044 RUB,Косметический
backyard (138).jpg,backyard,patio,0.494,0.2704,1.0,0.1938,9,0.0041,0.2068,2.33,0.4525,0,0.0935,9,54.0537,0.3592,169159.92,169 160 RUB,Косметический
backyard (139).jpeg,backyard,yard,0.6621,0.2653,1.0,0.1806,4,0.1776,0.1791,2.3069,0.5992,1,0.0322,3,17.964,0.4465,123052.2,123 052 RUB,Косметический
backyard (139).jpg,backyard,yard,0.5369,0.2678,1.0,0.2108,6,0.0201,0.1991,2.32,0.5013,0,0.0821,4,24.0962,0.3746,140913.26,140 913 RUB,Косметический
backyard (14).jpeg,backyard,yard,0.54,0.248,1.0,0.1434,5,0.0055,0.1894,2.33,0.5408,0,0.0675,5,30.0298,0.3879,130115.07,130 115 RUB,Косметический
backyard (14).jpg,backyard,patio,0.3636,0.2473,1.0,0.2419,11,0.0706,0.2065,2.3186,0.32,0,0.0895,9,47.9997,0.3041,169301.05,169 301 RUB,Косметический
backyard (140).jpeg,backyard,yard,0.481,0.1875,1.0,0.2699,3,0.6011,0.1972,2.3186,0.6102,0,0.0604,2,10.6666,0.3985,118863.19,118 863 RUB,Косметический
backyard (140).jpg,backyard,manufactured_home,0.3343,0.2604,1.0,0.135,0,0.0004,0.1649,2.3186,0.2211,0,0.0361,0,0.0,0.3068,94729.46,94 729 RUB,Косметический
backyard (141).jpeg,backyard,hunting_lodge/outdoor,0.4117,0.2466,1.0,0.1883,0,0.2741,0.1944,2.31,0.401,1,0.1236,0,0.0,0.3544,112136.15,112 136 RUB,Косметический
backyard (141).jpg,backyard,playground,0.5582,0.2518,1.0,0.1718,10,0.0633,0.226,2.33,0.549,0,0.0897,1,6.006,0.3953,130171.28,130 171 RUB,Косметический
backyard (142).jpeg,backyard,library/outdoor,0.521,0.237,1.0,0.2554,1,0.1458,0.2209,2.3333,0.5451,1,0.0549,1,6.006,0.3719,112132.83,112 133 RUB,Косметический
backyard (142).jpg,backyard,patio,0.4776,0.2853,1.0,0.2577,11,0.291,0.211,2.3186,0.4026,2,0.0919,11,58.6664,0.3686,182862.38,182 862 RUB,Капитальный
backyard (143).jpeg,backyard,driveway,0.4683,0.2194,1.0,0.2886,1,0.0345,0.2538,2.33,0.5316,1,0.1368,1,6.006,0.3331,137877.74,137 878 RUB,Косметический
backyard (143).jpg,backyard,yard,0.3346,0.2173,1.0,0.2713,0,0.4719,0.1878,2.3186,0.3506,2,0.0512,0,0.0,0.3268,108685.55,108 686 RUB,Косметический
backyard (144).jpeg,backyard,farm,0.4428,0.2247,1.0,0.1126,0,0.0072,0.1768,2.33,0.4926,0,0.0467,0,0.0,0.3553,85782.65,85 783 RUB,Без ремонта
backyard (144).jpg,backyard,shed,0.3314,0.252,1.0,0.1928,2,0.2253,0.1892,2.3059,0.2396,1,0.067,2,14.2348,0.3165,139327.98,139 328 RUB,Косметический
backyard (145).jpeg,backyard,porch,0.5466,0.2293,1.0,0.2166,3,0.0982,0.239,2.33,0.5804,2,0.0552,2,12.0119,0.3851,133493.72,133 494 RUB,Косметический
backyard (145).jpg,backyard,yard,0.5922,0.2853,0.6572,0.1217,0,0.2286,0.1893,2.31,0.5182,0,0.0253,0,0.0,0.5382,79801.81,79 802 RUB,Без ремонта
backyard (146).jpeg,backyard,patio,0.3965,0.1862,1.0,0.3049,7,0.1843,0.2349,2.3,0.5302,0,0.1145,6,36.3634,0.317,156869.8,156 870 RUB,Косметический
backyard (146).jpg,backyard,yard,0.261,0.2006,1.0,0.262,3,0.3943,0.1823,2.33,0.2315,1,0.1528,2,12.0119,0.2914,162907.17,162 907 RUB,Косметический
backyard (147).jpeg,backyard,driveway,0.4591,0.2775,1.0,0.2463,1,0.1445,0.2044,2.3186,0.3955,2,0.0415,1,5.3333,0.3488,122209.94,122 210 RUB,Косметический
backyard (147).jpg,backyard,yard,0.5962,0.235,1.0,0.195,3,0.0272,0.2095,2.31,0.6058,2,0.051,3,18.1268,0.4022,135142.16,135 142 RUB,Косметический
backyard (148).jpeg,backyard,patio,0.4575,0.2504,1.0,0.2207,8,0.04,0.1997,2.33,0.4527,0,0.0611,7,42.0418,0.3429,150985.23,150 985 RUB,Косметический
backyard (148).jpg,backyard,yard,0.5866,0.2789,1.0,0.1901,5,0.3541,0.2174,2.33,0.5245,3,0.0523,4,24.0239,0.432,145592.93,145 593 RUB,Косметический
backyard (149).jpeg,backyard,manufactured_home,0.4365,0.3256,1.0,0.0718,0,0.0008,0.1653,2.3186,0.254,2,0.0089,0,0.0,0.3603,113138.79,113 139 RUB,Косметический
backyard (149).jpg,backyard,yard,0.4258,0.2512,1.0,0.2896,0,0.2156,0.1964,2.3186,0.4101,1,0.0914,0,0.0,0.334,118894.06,118 894 RUB,Косметический
backyard (15).jpeg,backyard,yard,0.4947,0.1542,1.0,0.2307,0,0.6204,0.2008,2.3186,0.6884,0,0.0416,0,0.0,0.4138,82672.16,82 672 RUB,Без ремонта
backyard (15).jpg,backyard,swimming_pool/outdoor,0.4613,0.2438,0.8039,0.1031,3,0.0384,0.2032,2.32,0.4716,0,0.048,2,12.0481,0.4266,123600.17,123 600 RUB,Косметический
backyard (150).jpeg,backyard,manufactured_home,0.4946,0.2168,1.0,0.2905,0,0.0418,0.241,2.3168,0.5616,2,0.1714,0,0.0,0.3439,131645.91,131 646 RUB,Косметический
backyard (150).jpg,backyard,farm,0.4987,0.2907,1.0,0.2322,1,0.5303,0.1783,2.3333,0.4172,0,0.0886,0,0.0,0.4061,103024.63,103 025 RUB,Косметический
backyard (151).jpeg,backyard,driveway,0.5366,0.2509,1.0,0.2919,0,0.0488,0.2356,2.33,0.5324,2,0.4086,0,0.0,0.3611,149844.63,149 845 RUB,Косметический
backyard (151).jpg,backyard,farm,0.6271,0.1586,1.0,0.1077,0,0.0081,0.1877,2.33,0.747,0,0.022,0,0.0,0.4301,70025.4,70 025 RUB,Без ремонта
backyard (152).jpeg,backyard,yard,0.5982,0.1997,1.0,0.1931,1,0.19,0.2173,2.31,0.6662,2,0.0424,0,0.0,0.4197,101030.71,101 031 RUB,Косметический
backyard (152).jpg,backyard,yard,0.6397,0.1516,0.4967,0.1165,0,0.1669,0.1852,2.3186,0.7629,0,0.0021,0,0.0,0.6003,62572.32,62 572 RUB,Без ремонта
backyard (153).jpeg,backyard,shed,0.425,0.2278,1.0,0.1793,5,0.1358,0.2231,2.33,0.4639,2,0.0637,5,30.0298,0.3477,142296.21,142 296 RUB,Косметический
backyard (153).jpg,backyard,yard,0.4366,0.2604,1.0,0.2291,1,0.0244,0.192,2.3303,0.4035,0,0.0505,0,0.0,0.3313,95368.82,95 369 RUB,Косметический
backyard (154).jpeg,backyard,patio,0.5751,0.3004,0.8429,0.1077,9,0.0087,0.1961,2.3186,0.4777,0,0.0344,6,31.9998,0.4565,140883.77,140 884 RUB,Косметический
backyard (154).jpg,backyard,lawn,0.4214,0.2493,1.0,0.2627,4,0.097,0.1999,2.32,0.4084,0,0.1027,0,0.0,0.3257,110479.47,110 479 RUB,Косметический
backyard (155).jpeg,backyard,cabin/outdoor,0.3858,0.2338,1.0,0.3275,0,0.25,0.2187,2.3186,0.394,2,0.1823,0,0.0,0.3193,151712.81,151 713 RUB,Косметический
backyard (155).jpg,backyard,yard,0.5603,0.1576,1.0,0.2152,4,0.0051,0.2252,2.33,0.7187,2,0.0437,1,6.006,0.3816,126005.69,126 006 RUB,Косметический
backyard (156).jpeg,backyard,lawn,0.4472,0.2064,1.0,0.3392,1,0.0746,0.2127,2.3047,0.5384,1,0.1039,0,0.0,0.3263,124196.28,124 196 RUB,Косметический
backyard (156).jpg,backyard,manufactured_home,0.521,0.1616,1.0,0.2319,0,0.0266,0.2336,2.3168,0.6899,3,0.0827,0,0.0,0.3647,111469.8,111 470 RUB,Косметический
backyard (157).jpeg,backyard,manufactured_home,0.4836,0.3125,1.0,0.0977,3,0.2607,0.1887,2.3186,0.3537,1,0.0364,1,5.3333,0.4,114501.44,114 501 RUB,Косметический
backyard (157).jpg,backyard,manufactured_home,0.4651,0.2846,1.0,0.12,3,0.0242,0.1975,2.3186,0.3881,0,0.0371,3,15.9999,0.3645,121650.19,121 650 RUB,Косметический
backyard (158).jpeg,backyard,yard,0.4376,0.256,1.0,0.1301,3,0.0038,0.1969,2.33,0.4149,2,0.0733,0,0.0,0.3494,119319.14,119 319 RUB,Косметический
backyard (159).jpeg,backyard,yard,0.3749,0.2484,1.0,0.3118,0,0.0791,0.209,2.32,0.3373,1,0.2446,0,0.0,0.2978,143616.15,143 616 RUB,Косметический
backyard (159).jpg,backyard,yard,0.4503,0.2245,1.0,0.3091,4,0.0542,0.2342,2.3186,0.5014,4,0.1821,4,21.3332,0.3255,194534.05,194 534 RUB,Капитальный
backyard (16).jpeg,backyard,manufactured_home,0.5353,0.3114,1.0,0.1051,1,0.0279,0.2133,2.33,0.4183,2,0.0192,0,0.0,0.3959,98602.75,98 603 RUB,Косметический
backyard (16).jpg,backyard,manufactured_home,0.557,0.2531,0.3693,0.0864,0,0.0314,0.1871,2.3269,0.5457,1,0.0538,0,0.0,0.5979,89913.4,89 913 RUB,Без ремонта
backyard (160).jpeg,backyard,yard,0.6542,0.231,1.0,0.2927,0,0.0353,0.1967,2.3186,0.647,3,0.0289,0,0.0,0.4067,118677.89,118 678 RUB,Косметический
backyard (160).jpg,backyard,yard,0.5393,0.1684,1.0,0.2523,7,0.0001,0.2253,2.33,0.6877,0,0.0728,6,36.0358,0.3653,141657.58,141 658 RUB,Косметический
backyard (161).jpeg,backyard,porch,0.6378,0.264,1.0,0.2017,3,0.1348,0.1949,2.31,0.5861,1,0.0564,2,12.0845,0.4282,126728.08,126 728 RUB,Косметический
backyard (161).jpg,backyard,manufactured_home,0.6007,0.2971,1.0,0.1208,1,0.1839,0.1879,2.31,0.5054,0,0.0249,0,0.0,0.4345,78626.12,78 626 RUB,Без ремонта
backyard (162).jpeg,backyard,porch,0.4448,0.1951,1.0,0.2777,0,0.1496,0.218,2.32,0.5613,1,0.0664,0,0.0,0.3373,105177.29,105 177 RUB,Косметический
backyard (162).jpg,backyard,yard,0.5794,0.1799,1.0,0.191,0,0.0,0.1942,2.33,0.6895,0,0.079,0,0.0,0.3935,92985.4,92 985 RUB,Косметический
backyard (163).jpeg,backyard,yard,0.511,0.235,1.0,0.3109,0,0.1092,0.2282,2.3186,0.5401,1,0.0575,0,0.0,0.3553,99493.91,99 494 RUB,Косметический
backyard (163).jpg,backyard,yard,0.4561,0.2343,1.0,0.2523,0,0.3854,0.1928,2.3186,0.4863,0,0.0925,0,0.0,0.3705,108119.75,108 120 RUB,Косметический
backyard (164).jpeg,backyard,patio,0.4674,0.17,1.0,0.1986,9,0.4028,0.1906,2.3333,0.6363,0,0.0243,9,35.9999,0.3875,137081.69,137 082 RUB,Косметический
backyard (164).jpg,backyard,yard,0.4517,0.2561,0.8623,0.1483,0,0.2891,0.206,2.3186,0.4329,0,0.0973,0,0.0,0.4212,106690.92,106 691 RUB,Косметический
